YYYY/MM/DD,USD/XAU,AUD/XAU,BRL/XAU,GBP/XAU,CAD/XAU,CLP/XAU,CNY/XAU,DKK/XAU,EGP/XAU,EUR/XAU,HKD/XAU,HUF/XAU,ISK/XAU,INR/XAU,IDR/XAU,ILS/XAU,JPY/XAU,KWD/XAU,MYR/XAU,MXN/XAU,NZD/XAU,NOK/XAU,PHP/XAU,PLN/XAU,RUB/XAU,SAR/XAU,SGD/XAU,ZAR/XAU,KRW/XAU,LKR/XAU,SEK/XAU,CHF/XAU,TWD/XAU,THB/XAU,TRY/XAU,AED/XAU
2/3/16,0.003101462,-0.007447068,-0.006807327,-0.00908833,-0.010759057,-0.008733591,0.002872764,-0.010269119,0.002550427,-0.010050738,0.003745103,-0.013169218,-0.007083876,0.002835767,0.00884146,-0.000896874,-0.016658745,0.003764232,0.006415411,-0.001565136,-0.021397801,-0.00952861,0.001887307,-0.007900344,-0.007969345,0.001770135,-0.00027267,-0.00074454,0.002192182,0.003449834,-0.008336891,-0.007742079,0.002413094,0.003045377,-0.006820479,0.001904963
2/4/16,0.02155477,0.010115106,0.00355107,0.021405875,0.012701197,0.00756404,0.019473673,0.008268763,0.021881212,0.008287532,0.020257749,0.006998468,0.009884849,0.016186792,0.012687237,0.009238464,0.01098756,0.011571931,0.003840367,0.012172012,0.011284128,0.006440311,0.015172721,0.00920344,0.000832915,0.02109318,0.002376376,0.059234801,-0.001279389,0.021483839,0.012072837,0.006913185,0.006853507,0.015842814,0.017220965,0.020750702
2/5/16,-0.005188516,0.013182092,0.002273339,0.002424948,0.005682948,0.007725177,-0.003839732,0.001306103,-0.004413097,0.000927539,-0.004460372,-0.00278585,0.00012142,-0.002170903,-0.004163692,-0.011437172,-0.002802059,-0.01759298,-0.002454529,0.002723703,0.011137419,0.008801442,-0.001925536,-0.000348688,0.005688356,-0.009421081,0.002510491,-0.029868014,0.011849089,-0.004635881,0.004463294,-0.003966352,0.00520832,-0.004125713,-0.002351569,-0.009160736
2/8/16,0.037291377,0.034426134,0.034823342,0.040922887,0.040655323,0.045966841,0.037212474,0.033672163,0.036271568,0.033700855,0.037105034,0.037328679,0.03304128,0.040657865,0.040646333,0.0424029,0.025943232,0.052525062,0.037540756,0.052927517,0.034271206,0.036797004,0.039943462,0.0421565,0.051204136,0.038676427,0.034857286,0.023472231,0.037033259,0.037219388,0.034955493,0.0314908,0.039157233,0.03507737,0.047277634,0.038734102
2/9/16,-0.001927428,0.001971293,-0.004410196,-0.006848295,-0.00916867,0.001061149,-0.001623726,-0.015323273,-0.000855919,-0.015003053,-0.001184491,-0.010971777,-0.010978375,-0.003820636,-0.009167257,-0.009178963,-0.009172338,-0.008270195,-0.002023385,0.005831137,-0.004444468,-0.005479329,-0.005766249,-0.015654903,0.003837437,0.001905579,-0.006409151,0.002307947,-0.005736549,-0.001927428,-0.009770387,-0.019482102,-0.007990653,-0.005860055,-0.00517881,0.002041051
2/10/16,-0.000839631,-0.002677492,0.011284793,0.000274987,0.009860495,-0.001987978,-0.001067586,0.007934372,-0.001758082,0.007539191,-0.001634079,0.007064603,0.005272023,-0.00092795,-0.009541448,0.004793372,-0.008319417,0.00330904,-0.009798233,0.002190061,-0.000773153,-0.001282774,-0.005557102,0.001601377,-0.002093632,-0.00452941,-0.002341912,-0.002055076,-0.009077898,-0.001047673,0.006800357,0.005908395,-0.007066897,-0.003408747,-0.003696999,-0.004634082
2/11/16,0.042857143,0.041748428,0.052181375,0.044562514,0.040020046,0.044291227,0.0429682,0.030220061,0.043416852,0.030099979,0.043084683,0.027350392,0.03344546,0.052291288,0.050078177,0.045270792,0.021729271,0.036701824,0.047131977,0.061551691,0.038555557,0.041298477,0.044967923,0.030440601,0.059138962,0.044636905,0.038146115,0.024206044,0.049863237,0.042857143,0.028804956,0.035157396,0.041498515,0.041055038,0.042643508,0.044504133
2/12/16,-0.000966962,-0.001250496,0.000491811,-0.001630925,-0.007780181,-0.01183043,-0.001194917,0.010329707,-0.00103076,0.010417933,-0.001428463,0.007649798,0.007694669,-0.00632054,-0.007763105,-0.003607059,0.010033044,-0.001637207,0.006272932,-0.010648624,0.007175334,0.004547329,-0.001639627,0.006271292,-0.01960862,-0.001605237,0.004933831,-0.002988372,0.005199908,0.000142689,0.009769923,0.005537776,0.001457655,0.009862818,0.000636513,-0.001428685
2/16/16,-0.024439426,-0.025131804,-0.004942438,-0.012958592,-0.022676577,-0.020182655,-0.032781356,-0.016071312,-0.025760243,-0.016154224,-0.024426902,-0.013622644,-0.01726839,-0.018811109,-0.022696316,-0.019646071,-0.016233453,-0.021164744,-0.028533799,-0.035423272,-0.015195163,-0.021455505,-0.022672924,-0.015705068,-0.035820282,-0.027038079,-0.018012532,-0.018314258,-0.013197267,-0.024642372,-0.017281152,-0.012916192,-0.018947967,-0.023453485,-0.011367646,-0.027039788
2/17/16,0.000413394,-0.008610221,-0.016895479,-0.001502176,-0.012290268,-0.012286684,0.00231713,0.000293979,0.001782491,0.000346531,1.53E-05,-0.001020685,0.001571389,-0.002419397,0.007327666,-0.001584155,0.002521562,0.002187236,0.015399597,-0.026788822,-0.008911714,-0.005490632,0.000413394,-0.000598274,-0.03233083,0.001108107,0.000271057,-0.015191651,0.002709237,-0.000141697,0.001837864,0.004765129,0.001647766,-0.000708869,-0.005880631,0.000986337
